Month,Name,Ranking,Visible
,PostgreSQL,469.806,Yes
,PostgreSQL,478.717,Yes
,PostgreSQL,478.888,Yes
,PostgreSQL,476.623,Yes
,PostgreSQL,483.277,Yes
,PostgreSQL,481.333,Yes
,PostgreSQL,482.247,Yes
,PostgreSQL,483.911,Yes
,PostgreSQL,491.071,Yes
,PostgreSQL,503.374,Yes
,PostgreSQL,507.191,Yes
,PostgreSQL,506.939,Yes
,PostgreSQL,513.919,Yes
,PostgreSQL,509.856,Yes
,PostgreSQL,514.801,Yes
,PostgreSQL,522.988,Yes
,PostgreSQL,527.005,Yes
,PostgreSQL,536.767,Yes
,PostgreSQL,542.286,Yes
,PostgreSQL,542.401,Yes
,PostgreSQL,555.06,Yes
,PostgreSQL,547.572,Yes
,PostgreSQL,552.226,Yes
,PostgreSQL,550.96,Yes
,PostgreSQL,549.287,Yes
,PostgreSQL,553.518,Yes
,PostgreSQL,559.25,Yes
,PostgreSQL,568.514,Yes
,PostgreSQL,577.151,Yes
,PostgreSQL,577.048,Yes
,PostgreSQL,577.502,Yes
,PostgreSQL,586.971,Yes
,PostgreSQL,597.275,Yes
,PostgreSQL,608.214,Yes
,PostgreSQL,606.559,Yes
,PostgreSQL,609.385,Yes
,PostgreSQL,616.927,Yes
,PostgreSQL,614.457,Yes
,PostgreSQL,615.29,Yes
,PostgreSQL,620.836,Yes
,PostgreSQL,615.871,Yes
,PostgreSQL,617.998,Yes
,PostgreSQL,620.456,Yes
,PostgreSQL,622.718,Yes
,MongoDB,101.77,Yes
,MongoDB,103.774,Yes
,MongoDB,96.126,Yes
,MongoDB,116.136,Yes
,MongoDB,124.225,Yes
,MongoDB,129.748,Yes
,MongoDB,134.948,Yes
,MongoDB,137.492,Yes
,MongoDB,140.462,Yes
,MongoDB,155.992,Yes
,MongoDB,152.188,Yes
,MongoDB,149.477,Yes
,MongoDB,161.872,Yes
,MongoDB,183.068,Yes
,MongoDB,178.231,Yes
,MongoDB,195.175,Yes
,MongoDB,199.986,Yes
,MongoDB,214.341,Yes
,MongoDB,224.621,Yes
,MongoDB,231.443,Yes
,MongoDB,238.775,Yes
,MongoDB,237.355,Yes
,MongoDB,240.983,Yes
,MongoDB,240.407,Yes
,MongoDB,244.734,Yes
,MongoDB,246.518,Yes
,MongoDB,250.897,Yes
,MongoDB,267.244,Yes
,MongoDB,275.013,Yes
,MongoDB,278.595,Yes
,MongoDB,277.324,Yes
,MongoDB,279.051,Yes
,MongoDB,287.395,Yes
,MongoDB,294.654,Yes
,MongoDB,300.566,Yes
,MongoDB,293.267,Yes
,MongoDB,304.607,Yes
,MongoDB,301.391,Yes
,MongoDB,306.029,Yes
,MongoDB,305.599,Yes
,MongoDB,305.331,Yes
,MongoDB,312.443,Yes
,MongoDB,320.222,Yes
,MongoDB,314.622,Yes
,MongoDB,315.002,Yes
,MongoDB,318.489,Yes
,MongoDB,315.997,Yes
,MongoDB,318.802,Yes
,MongoDB,325.477,Yes
,MongoDB,328.684,Yes
,MongoDB,331.904,Yes
,MongoDB,335.5,Yes
,MongoDB,326.933,Yes
,MongoDB,325.425,Yes
,MongoDB,331.582,Yes
,MongoDB,335.001,Yes
,MongoDB,332.767,Yes
,MongoDB,330.496,Yes
,MongoDB,332.735,Yes
,MongoDB,329.401,Yes
,MongoDB,330.475,Yes
,MongoDB,330.77,Yes
,MongoDB,330.949,Yes
,MongoDB,336.424,Yes
,MongoDB,340.522,Yes
,MongoDB,341.41,Yes
,MongoDB,342.113,Yes
,MongoDB,343.788,Yes
,MongoDB,350.325,Yes
,MongoDB,350.98,Yes
,MongoDB,358.793,Yes
,MongoDB,363.186,Yes
,MongoDB,369.482,Yes
,MongoDB,378.62,Yes
,MongoDB,387.185,Yes
,MongoDB,395.094,Yes
,MongoDB,401.338,Yes
,MongoDB,401.975,Yes
,MongoDB,408.071,Yes
,MongoDB,403.903,Yes
,MongoDB,409.928,Yes
,MongoDB,404.565,Yes
,MongoDB,410.06,Yes
,MongoDB,412.089,Yes
,MongoDB,413.183,Yes
,MongoDB,421.121,Yes
,MongoDB,426.966,Yes
,MongoDB,433.332,Yes
,MongoDB,437.608,Yes
,MongoDB,438.426,Yes
,MongoDB,438.994,Yes
,MongoDB,437.077,Yes
,MongoDB,443.479,Yes
,MongoDB,443.56,Yes
,MongoDB,446.481,Yes
,MongoDB,448.021,Yes
,MongoDB,453.828,Yes
,MongoDB,457.728,Yes
,MongoDB,457.223,Yes
,MongoDB,458.948,Yes
,MongoDB,462.387,Yes
,MongoDB,469.97,Yes
,MongoDB,481.013,Yes
,MongoDB,488.216,Yes
,MongoDB,496.162,Yes
,MongoDB,496.542,Yes
,MongoDB,496.502,Yes
,MongoDB,493.554,Yes
,MongoDB,487.347,Yes
